question,answer1,answer2,answer3,answer4,answer5,answer6,correct_answer
"Which configuration takes precedence at runtime, When multiple configurations exist in AEM?","Any .config files from <cq-installation-dir>/crx-quickstart/launchpad/config/.... On the local","Repository nodes with type sling:OsgiConfig under /libs/*/config","Configuration that exist in the Web Console","Repository nodes under /apps/*/config","","","d"
"A developer needs to make template T available as a child page of page P. The developer has determined that: Template T matches cq:allowedTemplates property on page P. Template T has no atlowedPaths Property set. Template T is not in the same application as page P. The template of page P has no match on the allowedParents property of template T. Template T has no match on the allowedTemplate property on the temptate of page P. What should the developer change?","Make the allowedParents property of template T match the template of page P.","Make Page P match allowedPaths property of template T.","Clear the attowedParents property of template T.","Migrate template T to the same application as Page P.","","","c"
"An AEM developer sets an arguments variable myVariable to be consumed by workflow process in the same workflow model definition.","//GET myVariable from args String args = metaDataMap.get(PROCESS_ARGS, String.class);","//GET myVariable directly from MetaDataMap String myVariable = workItem.getMetaDataMap().get(myVariable);","//GET myVariable from HistoryItem object List < HistoryItem>history = workflowSession.getHistory(workItem.getWorkflow());","//GET myVariable from WorkflowData String myVariable = workItem.getWorkflowData.getPayload90.toString();","","","a"
"An AEM Developer needs to automate tests for the user interface. Which tool is provided in the AEM Framework for automated UI testing?","Sinon","Jasmine","HobbesJS","Mocha","","","c"
"An AEM application development team is assigned a task to create an Event-Driven Data Layer implementation for an analytics solution. Which Adobe recommended best practice should the developer choose?","Use Adobe Client Data Layer and Integrate with Core components","Use Adobe Experience Platform's data layer to integrate with AEM","Create an Adobe Cloud Service configurations to use third-party tools data layer","Create a custom data layer and each component, template and its properties to the data layer","","","a"
"An AEM Developer needs to create a log file for the project. Which next step should the developer take?","Create a log file under /libs/system/configuration... specific runmode folder(s)","Create a log file under /apps/system/configuration... specific runmode folder(s)","Ask AMS/DevOps for admin access to create a log file via console","Create a log file under /apps/myproject/configuration... specific runmode folder(s)","","","d"
"What type of configuration can be created in OSGI Configuration Manager?","Run modes Configuration","Service Configuration","Components Configurations","Bundles Configurations","","","d"
"AMS recommends a team to upgrade AEM servers with in-place upgrade because the existing version has reached EOL. What are two disadvantages of performing an in-place Upgrade to the latest version of AEM?(Choose two.)","Content migration is required.","Content revision history is not preserved.","Depending on the version difference between the old and new instances, the upgrade can be a long and arduous process.","ACLs, users, and groups are lost","Complex developers setup and automation of the upgrade process.","","e"
"SPA components are connected to MM components via the MapTo0 method. Which code should be used to correctly connect an SPA component called Itembst to its MM equivalent?","MapTo('project/components/content/itemList')(ItemList. ItemListEditConfig);","MapTo(ItemList)('project/components/content/itemList',ItemListEditConfig):","('project/components/content/itemList').MapTo(ItemList,ItemListEditConfig);","ItemList.MapTo('project/components/content/itemList'):","","","a"
"The OSGi configuration is added to a run mode specific configuration config.author.staging in AEM as a Cloud service. This application fails to read the configuration. What is the possible cause of the issue?","The custom OSGi configuration runmode used (i.e., config.author.staging) is not supported in AEM as a Cloud service","Only <service> Specific OSGI configuration runmodes like config.author OR config.publish are supported in AEM as a Cloud service.","OSGi configurations runmodes cannot be installed automatically on AEM as a Cloud Service we need to install them as a package using the package manager","AEM as a Cloud service does not support OSGi configuration runmodes","","","a"
"AS per Latest AEM archetype what are two primary purpose of the it:launcher module? (Choose Two)","Bundle up the code that deploys ui.tests to the server","Package up JUnit tests that will later be executed server-side","Bundle all Hobbes tests for automating UI tests","Hold all mock data used for Junit testing","Trigger remote Junit execution","","e"
"Which option should be used to synchronize user data across publish servers in a publish farm?","Using Vault plugin","Using Sling Distribution","Replication Agents","Using CURL","","","b"
"An AEM Developer creates a custom OAK index for /content/mywebsite under /oak:index node. While testing the live site. It is found that the index is not being applied to any query within the website. Default Lucene indexes with high cost are being picked up by the AEM. What is the most likely of the issue?","The custom OAK Lucene index must be replaced with OAK Lucene Property index","The Custom Oak Lucene index must include boost property to rank it higher than default Lucene index","The Custom OAK Lucene index is missing evaluatePathRestrictions property and queryPaths property","The Custom OAK lucene index is missing evaluatePathRestrictions property and includedPaths Property","","","a"
"A Custom application contains Bundle A and Bundle B. Bundle A has a dependency to Bundle B via Import-Package. How can both bundles be deployed most efficiently across all the environments?","Create one content package per bundle and use a package dependency to ensure installation order","Embed both bundles in one content package and user property installationOrder in package properties for correct bundle installation order","Embed both bundles in one content package the dependency via import-Package is enough to ensure correct installation","Use the Felix Web Console to upload the bundle in the correct order","","","a"
"AEM SPAs PageModelManager leverages the JSON MODEL EXPORTER. Which two meta field are exposed through that exporter? (Choose Two)","parent","resource","type","length","children","","e"
"While Working Editable Templates, the author reports that the changes that the author makes are lost periodically. What should the AEM Developer fix to prevent losing author updates?","Set mode to be merge in the filter.xml","Set mode to be update in the filter.xml","Move the affected editable template to etc/templates","Move the affected editable template to apps/templates","","","a"
"AEM supports traditional, Headless and Hybrid delivery capabilities in various ways. Which of the following are the tools enabling Omnichannel experience capabilities in AEM ?","1. Sling Modal Exporter for Content Fragments and Experience Fragments 2. AEM Assets HTTP API 3. GraphsQL API for content Fragments and Experience Fragments","1. Sling Modal Exporter for Content Fragments and Experience Fragments 2. GraphsQL API for Content Fragments and Experience Fragments 3. Content Services","1. AEM Assets HTTP API 2. GraphsQL API for content Fragments and Experience Fragments 3. Content Services","1. Sling Modal Exporter for Content Fragments and Experience Fragments 2. AEM Assets HTTP API 3. Content Services","","","c"
"A customer adds third-party client libraries to add some features in an existing AEM application which will significantly reduce performance What is the best option for the AEM Developer to optimize the site?","Embed client libraries to consolidate them into fewer files","Debug third-party client lib and fix the code","Create new AEM application from Scratch","Rebuild Client libraries","","","a"
"An AEM application must process a high volume of content ingestion on the author server. What is a key factor to optimize a design for overall performance gain for implementing workflows?","Allocate more RAM for the content ingestion up front","Run Garbage collection every time content ingestion occurs","Use Schedulers to run the workflow only on weekends","Use Transient workflows","","","d"
"A developer wants to extend a core component so what property that developer has to use?","Sling:resourceType","Sling:resourceSuperType","Placeholder answer since Platform does not support 2 answers","","","","b"
"A developer has a requirement of custom component which needs whole core component functionality but only one tab is not required. So which property can be used for this purpose?","Sling:orderBefore","Sling:hideResource","Sling:hideChildren","","","","b"
"A Project has a transient workflow. But a specific step defeats the purpose of making workflow to transient. creates a sling job to proceed further and generates error messages in log files. To make it better which step must be removed?","Participant Step","Process Step","Container Step","Participant Chooser Step","","","b"
"Developer wants to print Hello World in only edit mode. What should be the HTL?","data-sly-test=${wcmmode.editor}","data-sly-test=${wcmmode.edit}","data-sly-test=${wcm.edit}","","","","b"
"An AEM application must be highly available and scalable in distributed geographical scenario. Which approach should be used to meet the requirement?","Oak Cluster with MongoMK Failover Across Multiple Datacenters","TarMK Cold Standby","TarMK Farm","Oak Cluster with MongoMK Failover in a Single Datacenter","","","a"
"What a developer must use to use jcr:property in java variable?","Sling Model","Crx De","HTL","","","","a"
"A developer wants to consume AEM Page Data in a Single Page Application. The Single page Application is coded to understand JSON format. Only page content should be exposed through JSON. All the existing components are based on foundation components. Which change should the developer make in the existing components to support this requirement?","Implement a sling Model Exporter for the components","Invoke the page URL with the extension json to get the values to construct the required output","Create a custom sling event handler to handle JSON requests","Add JSON as the default extension in Apache Sling Servlet/Script Resolver and Error Handler Configuration","","","a"
"What is the default value for AC Handling when creating packages?","Overwrite","MergePreserve","Ignore","Merge","","","c"
"A developer wants to replace element name of host element with titleLevel property of model in HTL. What should be the HTL for the same.","<div data-sly-element= ${titleLevel} @context= something></div>","<data-sly-use.element= ${titleLevel}></div>","<div data-sly-attribute= ${titleLevel}></div>","","","","a"
"An AEM Developer needs to create a new component to help support a new product launch. The client is on AEM 6.5 on-premise with the latest version of WCM Core Components The component must include text, image, and a link The component must support multiple designs Which process should the AEM Developer use to support the launch?","1. Create a new component by extending the Text Component from Core Components 2. Add dialog properties and modify HTL to support images","1. Extend the Text Component from Core Components 2. Enable image manipulations for the Text Component via policy","1. Extend the Teaser Component from Core Components 2. Create style variations to be used in the Style System","1. Create a new Image with Text component that exposes the Core Components authoring dialogs for those components 2. Add a policy to define which designs are used","","","c"
"An AEM server is overloaded with too many concurrently running workflows. The developer decides to reduce the number of concurrent workflows. What should be configured to reduce the number of concurrent workflows?","The number of threads in scheduler","Launchers for each workflow","The number of threads in Apache Felix Jetty Http Service","Maximum parallel jobs in OSGI console","","","d"
"An AEM application must implement user testing using AEM Mocks. Which two service does the Class AemContext provide developers access to?(Choose two.)","FlushAgent","WorkflowSession","ModelFactory","TagManager","Session","","d"
"While using the custom workflow model on multiple assets / pages , workflow instance is getting started for each asset/page. Which property can be enabled to start a single workflow instance if multiple assets / pages are subjected?","Multi-Resource Support","Transient Workflow","Multi-Resource Helper","","","","a"
"Author has OSGI component: @Component ( service = Servlet . class , property ={ ServletResolverConstants . SLING_SERVLET_PATHS +..... something ServletResolverConstants . SLING_SERVLET_METHODS + something ...}) public class SomeServlet { .............. } How can author use Apache felix web console to disable servlet?","Component tab>Check OSGi component is listed>click disable","Bundle Resource provider tab>Check OSGi component is listed>click disable","Service tab>Check OSGi component is listed>click disable","","","","a"
"Where Should an AEM Developer add a front-end dependency?","vault.xml","settings.xml","package.json","config.json","","","c"
"A developer wants a custom component that has functionality of core component so what component he needs to create?","Proxy Component","Core component","Custom Component","","","","a"
"What will be the correct syntax for getting request attribute in sling model? (choose two)","@Inject @Source(request-attributes) @Named(testParam)","@Inject(name= testParam)","@RequestAttribute(testParam)","","","","c"
"An AEM application is required to create absolute urls for the web domain on which the application is supported to run. The developer wants to create the absolute urls in the server to facilitate other use cases for SEO and Analytics Which of the following options would work for the developer?","Configure apache rewrite rules to create the absolute urls","Configure Day CQ Link Externalizer to add a domain mapping to Author Server and Publisher","Configure Day CQ Link Externalizer to remove the author domain","Configure Day CQ Link Externalizer to add a domain mapping to Publisher/Web Server","","","d"
"What is Out of Scope for the Pattern Detector tool, while doing an AEM upgrade?","OSGI bundles exports and imports mismatch","Backward Compatibility with the previous AEM version","Rep:User nodes compatibility(in context of OAuth configuration)","Definitions of Oak indices for compatibility","","","b"
"Where a developer needs to write the business logic in java?","Core","Ui.apps","Ui.config","","","","a"
"A Client has asked to share an HTML Version of test coverage report for the AEM project. What plugin should the AEM developer use to generate test coverage report using latest archetype?","<plugin> <groupId>org.apache.maven.plugins</groupId> <artifactId>maven-pmd-plugin</artifactId>.....</plugin>","<plugin> <groupId>org.apache.maven.plugins</groupId> <artifactId>maven-checkstyle- plugin</artifactId>.....</plugin>","<plugin> <groupId>org.apache.maven.plugins</groupId> <artifactId>maven-surefire-plugin</artifactId>.....</plugin>","<plugin> <groupId>org.codehaus.mojo</groupId> <artifactId>selenium-maven-plugin</artifactId>.....</plugin>","","","c"
"Which tool allows assets to be shared with multiple AEM instances as read-only local assets?","Package Manager","Connected Assets","Asset Link Share","Felix Console","","","b"
"How to get metadata of workflow by using java snippet?","WorkflowDataMap wfd = workflowItem.getWorkFlow().getMetaDataMap(); wfd.Put(key, Value);","WorkflowDataMap wfd = workflowItem.getMetaDataMap(); wfd.Put(key, Value);","WorkflowDataMap wfd = workflowItem.getWorkflow().getWorkflowData().getMetaDataMap(); wfd.Put(key, Value);","","","","c"
"Which URI should be used to configure a Flush Agent for a dispatcher listening on port 8080?","http://<dispatcherHost>:8080/invalidate.cache","http://<dispatcherHost>:8080/dispatcher/invalidate.cache","http://<dispatcherHost>:8080/dispatcher/cache.invalidate","http://<dispatcherHost>:8080/cache.invalidate","","","b"
"An AEM application requires a service user WRITE access to children nodes but not on the parent node itself. Which console should the developer use to apply appropriate ACL?","User Management console","Group Management console","OAuth Clients console","Permission console","","","d"
"A developer is using sling context-aware configuration trying to get the configuration resource using: @Reference Private configurationResourceResolver cfgResourceResolver ; confResource = cfgResourceResolver . getResource ( resource , Bucket_NAME , CONFIG_NAME ); This works as intended in author and in publish when logged in to publish as admin. However this gives a null when run as anonymous.","Apply read permissions to anonymous user for /content directory","Apply read permissions to anonymous user for /conf directory","Apply read permissions to anonymous user for /etc directory","Apply write permissions to anonymous user for /conf directory","","","c"
"A developer needs to create various content fragments depending on some dynamic names by writing Java code. Which code should be used to create a new content fragment?","FragmentTemplate.createFragment()","resource.createFragment","adaptTo(Fragment.class)","","","","a"
"A developer has requirement to add a new custom tab to the page properties of a specific page. The sling:resourceType of the page is foo/components/page and the sling:resourceSuperType of that page is core/wcm/components/page/v2/page. What is the best approach?","1. Copy the cq:dialog from app/core/wcm/components/page/v2/page to app/foo/components/page 2. Remove all the tabs 3. Add the custom tab","1. Create a new cq:dialog node under app/foo/components/page 2. Add the nodes cq:dialog > content > items 3. Add the custom tab after that node","1. Identify the location of the cq:dialog node from app/core/wcm/components/page/v2/page 2. Identify the last entry of items node 3. Add the custom tab after that node","1. Copy the cq:dialog from app/core/wcm/components/page/v2/page to app/foo/components/page 2. Identify the last entry of items node 3. Add the custom tab after that node","","","a"
"A customer is having trouble with some search queries and provides the following information: The logs show the following warring occurs many times: *WARN* Traversed 1000 nodes with filter Filter (query = SELECt ..) The Client has more than 100000 stored in their AEM instance The client uses a custom page property to help search for pages of a given type What should the AEM Developer do to help resolve the clients issue?","Create a custom oak index for the custom page property","Set the reindex flag to true for node 'oak:index/cqPageLucene'","Advise the client to recognize their content by having nodes of no more than 10000 sub nodes.","Use the Index Manager to validate the 'cqPageLucene' index is enabled","","","a"
"While doing an in-place AEM upgrade, the developer observes an issue in the server logs where all are active excepts for the ACS Commons bundle which is incompatible due to old versions. What should the developer do to resolve this issue?","Drop the new package uder path crx-quickstart/install and restart","Install the new jar using the package manager on the old environment","Update the plugin in pom.xml","Ask to Admin credentials & install the new bundle in Felix console","","","c"
"Select * from [nt:base] as s where s.status=some value What should be the property of index. (choose two)","Status node with propertyIndex value as true","Index Rule","Status node with propertyIndex value as false","Aggregates","","","b"
"While configuring Content Fragment Component author has selected Display Mode as Single Text element . This enables the selection of one Multi-Line text element and enables paragraph control options. Which two properties will now determine the resulting paragraph system?(choose two)","Paragraph range","Paragraph title/paragraph heading","Paragraph scope","Paragraph description","","","d"
"What is the file store used for Networking File Storage(NFS)?","S3 Data Storage","Content Repository","File Data Store","","","","c"
"What should be the resourceType node for osgi configuration node in the repository?","jcr:osgiConfig","sling:osgiConfig","crx:osgiConfig","","","","b"
"The SAML 2.0 Authentication Handler is disabled by default. You must set at least one of the following properties in order to enable the handler? (Choose two)","The Service Provider Entity ID","Path","The Identity Provider POST URL","","","","c"
"A developer Wants to send a SAML Authentication request to a specific url of a system entity that creates , manages and updates identity information. Which property of SAML Authentication Handler configuration must be configured with this url?","Identity provider url","Path","Default Redirect","","","","a"
"Which of the following is included in the Service Pack release Notes? (Choose two)","Jar file download link","Known Issues","Deprecated features","","","","c"
"Which offload related service is used by each aem instance to connect with aem topology connector?","Topology connector service","Cluster service","Discovery service","","","","c"
"Source and brand are added in the ignoreParamUrl. So which url will be passed? / ignoreParamUrl {{ / glob ""*"" / type ""deny"" } { /glob ""source"" / type ""allow"" } { /glob ""brand"" / type ""allow"" } }","url?source=value&brand=value2&param=value3","url?source=value","url?source=value&param=value3","","","","a"
"What is packageType for immutable code packages in maven project?","<packageType>application</packageType>","<packageType>content</packageType>","<packageType>container</packageType>","","","","a"
"A developer need to use AEM core components in prod without need to download and install core component. Which aem version would be use ?","AEM as Cloud Service","Version 6.3","Adobe managed services","","","","a"
"A developer needs to remove selectors from this url 'path/page.woo.foo.html' so what should be the syntax? (choose two)","${ 'path/page.woo.foo.html' @removeSelectors[foo,bar]}","${ 'path/page.woo.foo.html' @removeSelectors{foo,bar,woo}}","${ 'path/page.woo.foo.html' @selectors=}","${ 'path/page.woo.foo.html' @selectors}","","","d"
"A content author will use live copies on aem. Which 2 factors he need to consider?","Changes done locally to a component which is marked as container will not be overwritten","When reverting a canceled inheritance on a paragraph system the order of components will be changed","When inheritance is re-enabled, page is auto sync with source","If component is marked as container, cancellation and suspend actions dont apply for child comp","","","d"
"While exporting the Experience Fragment to json what selector should be used?","plain","text","nocss","","","","c"
"Which property of maven is used to build an aem project with specific version ?","<packageVersion>","<version>","<aemVersion>","","","","b"
"A Developer need to export Experience Fragment to adobe Target then what should be the format for exported experience fragment?","HTML","XML","JSON","","","","a"
"Where we can define global properties for the project?","<properties></properties> in parent pom","<properties></properties> in core pom","<properties></properties> in all module","","","","a"
"To overwrite OSGi Configurations where a developer must write the code in codebase?","Ui.content","Ui.apps","Core","","","","b"
"A developer wants to create a index with multiple properties and it needs to be updated asynchronously.","Property","Ordered","Lucene","","","","c"
"What should we set for debug log for SAML?","com.adobe.granite.auth.saml","com.adobe.sling.auth.saml","com.adobe.granite.debug.auth.saml","","","","a"
"Author wants to define blueprint configuration to identify existing website that will be used as source for other pages. Which 2 rules must content author follow ?","The root of each language has at least 2 child pages","Immediate child page of root are language branches of website.","The website should have a single page as root","Each language page must have a country child page","","","c"
"What will you see at maintenance screen on this : http://localhost:4502/libs/granite/operations/content/maintenance.html","Quarterly","Daily","Monthly","","","","b"
"A developer is starting an aem instance every time in the debug mode by providing JVM parameter in the console. The author needs to automate this process to avoid adding JVM parameters at every start of an AEM instance. How would developer achieve this goal?","By adding JVM parameters to the start script","By adding JVM parameters to the [runMode] / crxquikstart/conf/quikstart.properties","By adding the OSGI Configuration AEM-start to true","","","","a"
"Two methods used to update cache?","Restart publish instance","Content update","Restart author instance","Auto-invalidation on dispatcher","","","d"
"In AEM, one needs a feature to able to explicitly clear dispatcher resources. Which method is preferred?","Enable explicit cache invalidation feature in cloud manager","Create Servlet, which makes HTTP request to dispatcher","Use Replication API with flush agent","","","","c"
"What is the plugin name used to clean the target folder?","maven-clean-plugin","mvn-clean-plugin","clean-plugin","","","","a"
"What will be the default response of dispatcher if it is deny for some url in /filter property?","400","404","403","","","","c"
"Which of the following two configuration will be applied when the instance will be started having runmodes author,dev,emea?","/apps/*/config.author.dev.emea.ldap","/apps/*/config.publish","/apps/*/config.author.emea.dev","/apps/*/config.author","","","d"
"Which service is used in aem to control how its instance interact with topology while running?","Offloading Service","Web console Service","Placeholder answer since Platform does not support 2 answers","","","","a"
"A developer is working on AEM as cloud so what is the Golden Master?","Publish node","Content Repository","Cloud Manager with github repo","Author node","","","c"
"Which URI should be used to configure a flush agent for port 80 on a local testing server?","//localhost:80/dispatcher/validate.flush","//localhost:80/dispatcher/invalidate.cache","//localhost:80/dispatcher/validate.cache","//localhost:80/dispatcher/invalidate.flush","","","b"
"An instance of AEM has been upgraded from 5.6 to 6.0 and then 6.5. Which three OSGi configurations are needed to integrate LDAP with this upgraded instance of AEM? (Choose three.)","Authentication Handler","SSL Certificate","LDAP IDP","Sync Handler","External Login Module","","e"
"A developer must create a workflow step that assigns a 'WorkItem' to the appropriate person based on who has the least amount work to do. The group that must perform the action is configured into the workflow. Which non-deprecated interface should the Java implementation class use to perform the assignment?","com.adobe.granite.workflow.exec.ParticipantStepChooser","com.day.cq.workflow.exec.ParticipantChooser","com.day.cq.workflow.exec.WorkItem","com.adobe.granite.workflow.exec.WorkflowData","","","b"
"For each CRX node in the hierarchy, which actions can be configured using the user admin interface?","Read, Modify, Create, Delete, Read ACL, Edit ACL, Replicate","Read, Modify, Create, Delete, Read ACL, Edit ACL","Read, Write, Read ACL, Edit ACL, Replicate","Read, Write, Delete, Edit ACL, Replicate","","","a"
"A development team wants to use the recommended language for the Oak query engine. This team wants to also avoid using the deprecated language for the Oak query engine and cannot use JQOM for the current project. Which languages should be used? Choose two answers.","XPath","SQL","XML","SQL-2","","","d"
"A developer is installing a content package with the package manager. The developer needs to restrict the approximate number of nodes in a batch that is saved to persistent storage in one transaction. How should the developer modify the number of transient nodes to be triggered until automatic saving?","Select the option MergePreserve for the Access Control Handling drop-down in the Install Package dialog-box","Modify the export package manifest header and copy the content package to AEM installation folder","Change the value of Save Threshold in the Install Package dialog-box","AEM instances automatically modify the number of transient nodes based on the load balancing","","","a"
"A developer wants to extend AEM Core Components to create a custom Carousel Component. How should the developer extend the Core Components?","Copy the Core Carousel component to /apps/ folder","Use the sling:resourceType property to point to the core component","Use the sling:resourceSuperType property to point to the core component","Make changes to the original component and assign a component group","","","a"
"In an instance of AEM, queries with full-text conditions are not working as expected. A developer creates a new node under oak:index and names the node LucenedIndex. Which properties and values need to be added to this node to make the node a full text index? (Choose two answers.)","async: async","includePropertyNames: [full]","type: lucene","reindex: true","","","c"
"When configuring a logger for SAML, which value is needed for the Logger property?","logs/saml.log","Debug","com.adobe.sling.auth.saml","com.adobe.granite.auth.saml","","","d"
"An AEM website needs its content delivered as JSON with headless endpoints. Which two characteristics of development fit under the mold of a headless model for development? (Choose two.)","Content is delivered via AEM Components","Styling happens outside the AEM platform","SPAs can be a destination for AEM content","Content is only delivered through HTML files","","","c"
"A developer is using GraphQL to deliver a content fragment. The developer needs the missing piece to the code to retrieve the listed items in JSON format. Which word is needed for the missing code? { personList { items { _path firstName lastName title } } }","call","get","query","retrieve","","","c"
"A developer has the BylinelmplTest.java file open and needs to create an AEM context for setting up a test involving mock data. Which line of code should be added above the code to declare the BylinelmpTest class?","@ExtendWith(AemContent.class)","@ExtendWith(AemContext.class)","@ExtendWith(AemContextExtension.class)","@ExtendWith(AemExtension.class)","","","c"
"An AEM implementation, version 6 has custom Login Modules. A group wants to upgrade the implementation to 6.5. What needs to be done with the custom login modules?","The custom modules need to be deleted and then recreated after the upgrade","The LoginModule parameter needs to be added to the custom module","Nothing","The custom modules need to be disabled and then recreated after the upgrade","","","c"
"When setting up filters for an AEM instance, which should be the first filter in the dispatcher.any file if best practices are followed?","{ /type ""deny"" /all ""*"" }","{ /type ""allow"" /glob ""*"" }","{ /type ""allow"" /all ""*"" }","{ /type ""deny"" /glob ""*"" }","","","d"
"A developer wants to write and run UI tests directly in a web browser. Which testing library should the developer use?","React.js","Angular.js","Hobbes.js","Bobcat,js","","","c"
"Which front-end development workflow tool allows a developer to style and develop a site based on static output of AEM webpages within the ui.frontend module?","Client Library Generation","Storybook","Webpack Static Development Server","OSGi Services","","","c"
"A developer needs to create a new component called Component A. Component A must show a list of other components that all have a resource type of existing Component B. Component A must render this list of tiles for each Component B where the tile rendering is different from the default one. The list of rendered tiles must be reusable by future new components. How should the developer implement this functionality?","Component A overlays Component B and overwrites the base renderer to facilitate the tiles","Component A calls the HTL of Component B directly using a data-sly-include attribute","Component A inherits from Component B and overwrites the base renderer to facilitate the tiles","Create a script for tile rendering in Component B and use data-sly-resource attribute with a Sling selector in Component A to render the tile","","","d"
"A developer wants to change the log level for a custom API. Which OSGi configuration should the developer modify?","Apache Sling Log Tracker Service","Apache Sling Logging Writer Configuration","Apache Sling Logging Configuration","Adobe Granite Log Analysis Service","","","c"
"A developer needs to map a React image component to a corresponding AEM image component. What code should the developer use?","RefTo('wknd-spa-react/components/image)(Image, ImageEditConfig);","MapTo('wknd-spa-react/components/image')(Image, ImageEditConfig):","MapTo(Image, ImageEditConfig)(wknd-spa-react/components/image);","RefTo(Image, ImageEditConfig)('wknd-spa-react/components/image);","","","b"
"Which file is the default file to store the Dispatcher configuration?","dispatcher.yaml","dispatcher.any","dispatcher.xml","dispatcher.config","","","b"
